"County","County Name","Office Name","Office District","Candidate Name ","Party","Winner","Congressional District 1","Congressional District 2","Congressional District 3","Congressional District 4","Congressional District 5","Congressional District 6","Congressional District 7","Congressional District 8" 
"00","State of Maryland","Governor / Lt. Governor","","Carl A. Brunner, Jr. and Kevin L. Rhodes, Sr.","REP","","3845","1496","1256","300","1760","2903","415","725" 
"00","State of Maryland","Governor / Lt. Governor","","L. D. Burkindine and Jeremy M. Shifflett","REP","","1043","443","505","87","564","719","145","240" 
"00","State of Maryland","Governor / Lt. Governor","","Dan Cox and Rob Krop","REP","Y","28079","10013","8889","886","12509","24069","1869","3668" 
"00","State of Maryland","Governor / Lt. Governor","","Ed Hale and Tyrone Keys, Jr.","REP","","26766","18374","10749","478","5618","6201","4430","2261" 
"00","State of Maryland","Governor / Lt. Governor","","Douglas Larcomb and Martina D. Duncan","REP","","503","229","267","68","297","462","76","230" 
"00","State of Maryland","Governor / Lt. Governor","","John A. Myrick and Brenda J. Thiam","REP","","3386","1465","1699","237","1986","3187","435","805" 
"00","State of Maryland","Governor / Lt. Governor","","Michael Oakes and Ronald W. Abend","REP","","645","446","316","66","344","538","87","141" 
"00","State of Maryland","Governor / Lt. Governor","","Nancy Jane Taylor and Rachel Hannah ""Mohawk"" Swift","REP","","1138","405","397","103","486","765","124","272" 
"00","State of Maryland","Governor / Lt. Governor","","Shannon Wright and Reba A. Hawkins","REP","","1279","584","604","172","720","944","256","348" 
"00","State of Maryland","Comptroller","","Sonya Dunn","REP","Y","50676","25248","19543","1969","19157","30805","5735","7496" 
"00","State of Maryland","Attorney General","","James B. Rutledge, III","REP","Y","51281","25469","19694","1959","19237","30865","5769","7526" 
"00","State of Maryland","U.S. Congress","01","Chris Bruneau","REP","","13788","0","0","0","0","0","0","0" 
"00","State of Maryland","U.S. Congress","01","Andy Harris","REP","Y","54122","0","0","0","0","0","0","0" 
"00","State of Maryland","U.S. Congress","02","Nnabu Eze","REP","","0","3404","0","0","0","0","0","0" 
"00","State of Maryland","U.S. Congress","02","Dave Wallace","REP","Y","0","27136","0","0","0","0","0","0" 
"00","State of Maryland","U.S. Congress","03","Ray Bly","REP","","0","0","3241","0","0","0","0","0" 
"00","State of Maryland","U.S. Congress","03","Berney Flowers","REP","Y","0","0","10428","0","0","0","0","0" 
"00","State of Maryland","U.S. Congress","03","Felix M. Seier","REP","","0","0","2156","0","0","0","0","0" 
"00","State of Maryland","U.S. Congress","03","John White","REP","","0","0","5491","0","0","0","0","0" 
"00","State of Maryland","U.S. Congress","04","George E. McDermott","REP","Y","0","0","0","1923","0","0","0","0" 
"00","State of Maryland","U.S. Congress","05","Chris Chaffee","REP","Y","0","0","0","0","11536","0","0","0" 
"00","State of Maryland","U.S. Congress","05","Bryan DuVal","REP","","0","0","0","0","3145","0","0","0" 
"00","State of Maryland","U.S. Congress","05","Michelle Talkington","REP","","0","0","0","0","7866","0","0","0" 
"00","State of Maryland","U.S. Congress","06","Chris Burnett","REP","","0","0","0","0","0","14562","0","0" 
"00","State of Maryland","U.S. Congress","06","Robin Ficker","REP","Y","0","0","0","0","0","16284","0","0" 
"00","State of Maryland","U.S. Congress","06","Mariela Roca","REP","","0","0","0","0","0","8115","0","0" 
"00","State of Maryland","U.S. Congress","07","Scott M. Collier","REP","Y","0","0","0","0","0","0","5749","0" 
"00","State of Maryland","U.S. Congress","08","Anita Mpambara Cox","REP","","0","0","0","0","0","0","0","2123" 
"00","State of Maryland","U.S. Congress","08","Donald L. Lech","REP","","0","0","0","0","0","0","0","1376" 
"00","State of Maryland","U.S. Congress","08","Cheryl Riley","REP","Y","0","0","0","0","0","0","0","3495" 
"00","State of Maryland","U.S. Congress","08","Michael Yadeta","REP","","0","0","0","0","0","0","0","1087" 
"00","State of Maryland","State Senator","01","Mike McKay","REP","Y","0","0","0","0","0","10986","0","0" 
"00","State of Maryland","State Senator","02","Paul D. Corderman","REP","Y","0","0","0","0","0","6588","0","0" 
"00","State of Maryland","State Senator","03","Shelley Aloi","REP","Y","0","0","0","0","0","3375","0","0" 
"00","State of Maryland","State Senator","04","William ""Bill"" Folden","REP","Y","0","0","0","0","0","8674","0","0" 
"00","State of Maryland","State Senator","05","Justin Ready","REP","Y","0","8212","1234","0","0","196","0","0" 
"00","State of Maryland","State Senator","06","Daniel Eisenhart","REP","","0","810","0","0","0","0","1446","0" 
"00","State of Maryland","State Senator","06","Johnny Ray Salling","REP","Y","0","1357","0","0","0","0","1819","0" 
"00","State of Maryland","State Senator","07","J. B. Jennings","REP","Y","6808","2237","0","0","0","0","0","0" 
"00","State of Maryland","State Senator","08","Yahu Blackwell","REP","Y","0","2384","0","0","0","0","36","0" 
"00","State of Maryland","State Senator","09","Ben Hightower","REP","Y","0","0","2729","0","0","342","0","0" 
"00","State of Maryland","State Senator","11","Jim Simpson","REP","Y","0","2370","0","0","0","0","39","0" 
"00","State of Maryland","State Senator","17","Helene Meister","REP","Y","0","0","0","0","0","525","0","593" 
"00","State of Maryland","State Senator","21","Lee Havis","REP","Y","0","0","0","484","527","0","0","0" 
"00","State of Maryland","State Senator","22","Jim Wass","REP","Y","0","0","0","323","0","0","0","0" 
"00","State of Maryland","State Senator","23","James A. T. Amah","REP","Y","0","0","0","79","646","0","0","0" 
"00","State of Maryland","State Senator","27","Al Larsen","REP","Y","0","0","0","27","5024","0","0","0" 
"00","State of Maryland","State Senator","29","Jack Bailey","REP","Y","0","0","0","0","6590","0","0","0" 
"00","State of Maryland","State Senator","30","Jessica Haire","REP","Y","0","0","2113","0","1992","0","0","0" 
"00","State of Maryland","State Senator","31","Nicholaus Kipke","REP","Y","0","0","6181","0","42","0","0","0" 
"00","State of Maryland","State Senator","32","Justin Gallucci","REP","Y","0","0","2207","0","153","0","0","0" 
"00","State of Maryland","State Senator","33","Amy Leahy","REP","Y","0","0","2291","0","1896","0","0","0" 
"00","State of Maryland","State Senator","34","Raj Goel","REP","Y","6337","0","0","0","0","0","0","0" 
"00","State of Maryland","State Senator","35","Jason C. Gallion","REP","Y","12636","0","0","0","0","0","0","0" 
"00","State of Maryland","State Senator","36","Steve Hershey","REP","Y","8100","0","0","0","0","0","0","0" 
"00","State of Maryland","State Senator","37","Johnny Mautz","REP","Y","9626","0","0","0","0","0","0","0" 
"00","State of Maryland","State Senator","38","Mary Beth Carozza","REP","Y","10121","0","0","0","0","0","0","0" 
"00","State of Maryland","State Senator","42","Kevin Ford","REP","Y","1002","4559","0","0","0","0","0","0" 
"00","State of Maryland","State Senator","42","Matt Fox","REP","","578","1812","0","0","0","0","0","0" 
"00","State of Maryland","State Senator","42","Adam Wood","REP","","226","2205","0","0","0","0","0","0" 
"00","State of Maryland","State Senator","46","Emmanuel Digman","REP","Y","0","0","0","0","0","0","522","0" 
"00","State of Maryland","House of Delegates","01A","Andy Adams","REP","","0","0","0","0","0","297","0","0" 
"00","State of Maryland","House of Delegates","01A","Edward E. Clemons, Jr.","REP","","0","0","0","0","0","850","0","0" 
"00","State of Maryland","House of Delegates","01A","Dan Duggan","REP","Y","0","0","0","0","0","2706","0","0" 
"00","State of Maryland","House of Delegates","01A","Lisa Lowe","REP","","0","0","0","0","0","245","0","0" 
"00","State of Maryland","House of Delegates","01A","Tim Thomas","REP","","0","0","0","0","0","875","0","0" 
"00","State of Maryland","House of Delegates","01B","Jason C. Buckel","REP","Y","0","0","0","0","0","3420","0","0" 
"00","State of Maryland","House of Delegates","01C","Terry Baker","REP","Y","0","0","0","0","0","3192","0","0" 
"00","State of Maryland","House of Delegates","02A","Dianna Palmer","REP","","0","0","0","0","0","1692","0","0" 
"00","State of Maryland","House of Delegates","02A","William Valentine","REP","Y","0","0","0","0","0","4560","0","0" 
"00","State of Maryland","House of Delegates","02A","William J. Wivell","REP","Y","0","0","0","0","0","5301","0","0" 
"00","State of Maryland","House of Delegates","02B","Sean Flaherty","REP","Y","0","0","0","0","0","1003","0","0" 
"00","State of Maryland","House of Delegates","03","Angela McIntosh","REP","Y","0","0","0","0","0","3047","0","0" 
"00","State of Maryland","House of Delegates","03","Ashley Nieves","REP","Y","0","0","0","0","0","2932","0","0" 
"00","State of Maryland","House of Delegates","04","Jason E. Keckler","REP","Y","0","0","0","0","0","7442","0","0" 
"00","State of Maryland","House of Delegates","04","April Fleming Miller","REP","Y","0","0","0","0","0","7533","0","0" 
"00","State of Maryland","House of Delegates","04","Jesse T. Pippy","REP","Y","0","0","0","0","0","8359","0","0" 
"00","State of Maryland","House of Delegates","05","April R. Rose","REP","Y","0","6781","1015","0","0","169","0","0" 
"00","State of Maryland","House of Delegates","05","Sallie B. Taylor","REP","","0","4257","679","0","0","98","0","0" 
"00","State of Maryland","House of Delegates","05","Chris Tomlinson","REP","Y","0","6748","974","0","0","172","0","0" 
"00","State of Maryland","House of Delegates","05","Steve Whisler","REP","Y","0","6342","1068","0","0","138","0","0" 
"00","State of Maryland","House of Delegates","06","Bobby Al Jolson Berger","REP","","0","491","0","0","0","0","796","0" 
"00","State of Maryland","House of Delegates","06","Henry J. Ciezkowski","REP","","0","927","0","0","0","0","1669","0" 
"00","State of Maryland","House of Delegates","06","Robin L. Grammer","REP","Y","0","1351","0","0","0","0","1935","0" 
"00","State of Maryland","House of Delegates","06","Bob Long","REP","Y","0","1441","0","0","0","0","2053","0" 
"00","State of Maryland","House of Delegates","06","Ric Metzgar","REP","Y","0","1433","0","0","0","0","1730","0" 
"00","State of Maryland","House of Delegates","07A","Ryan Nawrocki","REP","Y","2613","2346","0","0","0","0","0","0" 
"00","State of Maryland","House of Delegates","07A","Kathy Szeliga","REP","Y","2707","2388","0","0","0","0","0","0" 
"00","State of Maryland","House of Delegates","07B","Lauren Arikan","REP","Y","4144","0","0","0","0","0","0","0" 
"00","State of Maryland","House of Delegates","08","Zulieka A. Baysmore","REP","","0","394","0","0","0","0","10","0" 
"00","State of Maryland","House of Delegates","08","Brian A. Campbell","REP","Y","0","2140","0","0","0","0","35","0" 
"00","State of Maryland","House of Delegates","08","Glen Geelhaar","REP","Y","0","1849","0","0","0","0","30","0" 
"00","State of Maryland","House of Delegates","08","Steven J. Riemer","REP","Y","0","2019","0","0","0","0","26","0" 
"00","State of Maryland","House of Delegates","08","Jacqueline Stevenson","REP","","0","1574","0","0","0","0","18","0" 
"00","State of Maryland","House of Delegates","09A","Fitzgerald Mofor","REP","Y","0","0","1763","0","0","326","0","0" 
"00","State of Maryland","House of Delegates","09A","Spencer Rhoda","REP","Y","0","0","1755","0","0","312","0","0" 
"00","State of Maryland","House of Delegates","11B","John C. Gordon","REP","Y","0","2018","0","0","0","0","40","0" 
"00","State of Maryland","House of Delegates","12A","Frank Glover","REP","Y","0","0","1103","0","0","0","0","0" 
"00","State of Maryland","House of Delegates","12B","Blair L. Brannock","REP","Y","0","0","826","0","0","0","0","0" 
"00","State of Maryland","House of Delegates","13","Mark Fisher","REP","Y","0","0","1561","0","0","0","0","0" 
"00","State of Maryland","House of Delegates","15","Peter Chan","REP","Y","0","0","0","0","0","752","0","898" 
"00","State of Maryland","House of Delegates","16","Ann Guthrie Hingston","REP","Y","0","0","0","0","0","0","0","1296" 
"00","State of Maryland","House of Delegates","23","Michael Riker","REP","Y","0","0","0","78","647","0","0","0" 
"00","State of Maryland","House of Delegates","23","Kimberly Simmons Robinson","REP","Y","0","0","0","70","636","0","0","0" 
"00","State of Maryland","House of Delegates","26","JoAnn Y. Fisher","REP","Y","0","0","0","265","58","0","0","0" 
"00","State of Maryland","House of Delegates","26","Ike Puzon","REP","Y","0","0","0","264","45","0","0","0" 
"00","State of Maryland","House of Delegates","27A","Jim Crawford","REP","Y","0","0","0","18","417","0","0","0" 
"00","State of Maryland","House of Delegates","27B","Dan L. Thomas","REP","Y","0","0","0","12","1502","0","0","0" 
"00","State of Maryland","House of Delegates","27C","Mark N. Fisher","REP","Y","0","0","0","0","3398","0","0","0" 
"00","State of Maryland","House of Delegates","28","James Emerson Ashburn","REP","Y","0","0","0","0","2113","0","0","0" 
"00","State of Maryland","House of Delegates","28","Winfield W. Clark, Jr.","REP","Y","0","0","0","0","1933","0","0","0" 
"00","State of Maryland","House of Delegates","29A","Matt Morgan","REP","Y","0","0","0","0","2729","0","0","0" 
"00","State of Maryland","House of Delegates","29B","BJ Hall","REP","Y","0","0","0","0","1136","0","0","0" 
"00","State of Maryland","House of Delegates","29C","James McQueen","REP","","0","0","0","0","1051","0","0","0" 
"00","State of Maryland","House of Delegates","29C","Todd B. Morgan","REP","Y","0","0","0","0","2373","0","0","0" 
"00","State of Maryland","House of Delegates","30B","Seth Howard","REP","Y","0","0","0","0","1835","0","0","0" 
"00","State of Maryland","House of Delegates","31","LaToya Marie Caldwell-Nkongolo","REP","Y","0","0","4773","0","34","0","0","0" 
"00","State of Maryland","House of Delegates","31","Brian A. Chisholm","REP","Y","0","0","5638","0","36","0","0","0" 
"00","State of Maryland","House of Delegates","31","Mike Jacobs","REP","Y","0","0","5274","0","33","0","0","0" 
"00","State of Maryland","House of Delegates","32","Colin McEvers","REP","Y","0","0","1959","0","137","0","0","0" 
"00","State of Maryland","House of Delegates","32","Mary Phelps","REP","Y","0","0","2025","0","137","0","0","0" 
"00","State of Maryland","House of Delegates","32","Marcus Damon Snipes, Jr.","REP","Y","0","0","1812","0","133","0","0","0" 
"00","State of Maryland","House of Delegates","33B","Stuart M. Schmidt, Jr.","REP","Y","0","0","724","0","1122","0","0","0" 
"00","State of Maryland","House of Delegates","33C","Kristin M. Norris","REP","Y","0","0","1506","0","0","0","0","0" 
"00","State of Maryland","House of Delegates","34A","Elliott Joseph Herneker","REP","Y","3120","0","0","0","0","0","0","0" 
"00","State of Maryland","House of Delegates","34B","Jake Taylor","REP","Y","2250","0","0","0","0","0","0","0" 
"00","State of Maryland","House of Delegates","34B","Sheariah Yousefi","REP","","2094","0","0","0","0","0","0","0" 
"00","State of Maryland","House of Delegates","35A","Michelle Christman","REP","","3636","0","0","0","0","0","0","0" 
"00","State of Maryland","House of Delegates","35A","Mike Griffith","REP","Y","7596","0","0","0","0","0","0","0" 
"00","State of Maryland","House of Delegates","35A","Teresa Reilly","REP","Y","6916","0","0","0","0","0","0","0" 
"00","State of Maryland","House of Delegates","35B","Erica Berge","REP","","1375","0","0","0","0","0","0","0" 
"00","State of Maryland","House of Delegates","35B","Kevin B. Hornberger","REP","","1166","0","0","0","0","0","0","0" 
"00","State of Maryland","House of Delegates","35B","Derek J. Howell","REP","Y","1697","0","0","0","0","0","0","0" 
"00","State of Maryland","House of Delegates","36","Jeff Ghrist (Caroline County)","REP","Y","7550","0","0","0","0","0","0","0" 
"00","State of Maryland","House of Delegates","36","Jay A. Jacobs (Kent County)","REP","Y","7641","0","0","0","0","0","0","0" 
"00","State of Maryland","House of Delegates","36","Steve Arentz (Queen Anne's County)","REP","Y","7684","0","0","0","0","0","0","0" 
"00","State of Maryland","House of Delegates","37B","Chris Adams","REP","Y","7034","0","0","0","0","0","0","0" 
"00","State of Maryland","House of Delegates","37B","Tom Hutchinson","REP","Y","7209","0","0","0","0","0","0","0" 
"00","State of Maryland","House of Delegates","38A","Timothy H. Howlett","REP","","1703","0","0","0","0","0","0","0" 
"00","State of Maryland","House of Delegates","38A","C. L. Marshall, III","REP","Y","2334","0","0","0","0","0","0","0" 
"00","State of Maryland","House of Delegates","38B","Barry S. Beauchamp","REP","Y","1826","0","0","0","0","0","0","0" 
"00","State of Maryland","House of Delegates","38C","Wayne A. Hartman","REP","Y","4120","0","0","0","0","0","0","0" 
"00","State of Maryland","House of Delegates","42A","Alexander Harlan","REP","","696","614","0","0","0","0","0","0" 
"00","State of Maryland","House of Delegates","42A","Dan Katz","REP","","557","826","0","0","0","0","0","0" 
"00","State of Maryland","House of Delegates","42A","Charles Edward Murphy, III","REP","Y","507","884","0","0","0","0","0","0" 
"00","State of Maryland","House of Delegates","42B","Jeffry K. McDonald","REP","Y","0","1056","0","0","0","0","0","0" 
"00","State of Maryland","House of Delegates","42B","Larry A. Novak","REP","","0","540","0","0","0","0","0","0" 
"00","State of Maryland","House of Delegates","42C","Steve Patten","REP","Y","0","3635","0","0","0","0","0","0" 
"00","State of Maryland","House of Delegates","44A","Chuck Linton","REP","Y","0","29","0","0","0","0","728","0" 
"00","State of Maryland","House of Delegates","44B","Domonic Martin","REP","Y","0","250","0","0","0","0","654","0" 
"00","State of Maryland","House of Delegates","46","Jeremy L. Amason","REP","Y","0","0","0","0","0","0","534","0" 
"00","State of Maryland","House of Delegates","47A","Fred M. Price, Jr.","REP","Y","0","0","0","157","0","0","0","0" 
"02","Anne Arundel County","County Executive","","Dave Crawford","REP","Y","0","0","13319","0","4642","0","0","0" 
"04","Baltimore County","County Executive","","Patrick V. Dyer","REP","Y","3084","11915","0","0","0","0","2851","0" 
"04","Baltimore County","County Executive","","Kimberley Stansbury","REP","","1519","5983","0","0","0","0","2194","0" 
"11","Frederick County","County Executive","","Diane Fouche","REP","","0","0","0","0","0","6789","0","0" 
"11","Frederick County","County Executive","","William J. Holtzinger","REP","Y","0","0","0","0","0","9213","0","0" 
"13","Harford County","County Executive","","Bob Cassilly","REP","Y","15521","0","0","0","0","0","0","0" 
"13","Harford County","County Executive","","Spencer D. Dagner","REP","","1348","0","0","0","0","0","0","0" 
"13","Harford County","County Executive","","Patrick Vincenti","REP","","9189","0","0","0","0","0","0","0" 
"16","Montgomery County","County Executive","","Shelly Skolnick","REP","","0","0","0","110","0","1184","0","3129" 
"16","Montgomery County","County Executive","","Esther Wells","REP","Y","0","0","0","143","0","1881","0","4826" 
"23","Wicomico County","County Executive","","Julie M. Giordano","REP","Y","5097","0","0","0","0","0","0","0" 
"08","Cecil County","County Council","002","Ray Conger","REP","Y","3786","0","0","0","0","0","0","0" 
"08","Cecil County","County Council","002","Aaron K. Wright","REP","","3543","0","0","0","0","0","0","0" 
"08","Cecil County","County Council","003","Al Miller","REP","Y","4710","0","0","0","0","0","0","0" 
"08","Cecil County","County Council","003","Ken Schmid","REP","","3139","0","0","0","0","0","0","0" 
"08","Cecil County","County Council","004","Wayne L. Tome, Sr.","REP","Y","5765","0","0","0","0","0","0","0" 
"13","Harford County","Pres County Council","","Billy Boniface","REP","Y","12492","0","0","0","0","0","0","0" 
"13","Harford County","Pres County Council","","Tony ""G"" Giangiordano","REP","","10161","0","0","0","0","0","0","0" 
"13","Harford County","Pres County Council","","Samuel Kahl","REP","","3010","0","0","0","0","0","0","0" 
"09","Charles County","Pres County Commission","","Joe Crawford","REP","Y","0","0","0","0","2669","0","0","0" 
"19","Saint Mary's County","Pres County Commission","","Roy H. Alvey","REP","","0","0","0","0","2119","0","0","0" 
"19","Saint Mary's County","Pres County Commission","","Tom Jarboe","REP","Y","0","0","0","0","2823","0","0","0" 
"19","Saint Mary's County","Pres County Commission","","Greg Kolarik","REP","","0","0","0","0","1376","0","0","0" 
"21","Talbot County","County Council","","Chuck F. Callahan, III","REP","Y","2741","0","0","0","0","0","0","0" 
"21","Talbot County","County Council","","Frank Gunsallus","REP","Y","2470","0","0","0","0","0","0","0" 
"21","Talbot County","County Council","","Christian MacKendrick","REP","Y","2193","0","0","0","0","0","0","0" 
"21","Talbot County","County Council","","Lynn L. Mielke","REP","","1352","0","0","0","0","0","0","0" 
"21","Talbot County","County Council","","Dave Stepp","REP","Y","2546","0","0","0","0","0","0","0" 
"21","Talbot County","County Council","","Wade Strickland","REP","Y","2527","0","0","0","0","0","0","0" 
"01","Allegany County","County Commissioner","","Bill Atkinson","REP","Y","0","0","0","0","0","3006","0","0" 
"01","Allegany County","County Commissioner","","Seth Bernard","REP","","0","0","0","0","0","2404","0","0" 
"01","Allegany County","County Commissioner","","Creade Brodie, Jr.","REP","Y","0","0","0","0","0","2982","0","0" 
"01","Allegany County","County Commissioner","","Dave Caporale","REP","Y","0","0","0","0","0","3893","0","0" 
"01","Allegany County","County Commissioner","","Leona McTaggart","REP","","0","0","0","0","0","1533","0","0" 
"01","Allegany County","County Commissioner","","Dee Dee L. Ritchie","REP","","0","0","0","0","0","2631","0","0" 
"01","Allegany County","County Commissioner","","David Alan Robison","REP","","0","0","0","0","0","1171","0","0" 
"06","Caroline County","County Commissioner","","J. Travis Breeding","REP","Y","2094","0","0","0","0","0","0","0" 
"06","Caroline County","County Commissioner","","Linda Friday","REP","","1096","0","0","0","0","0","0","0" 
"06","Caroline County","County Commissioner","","Michael A. Mann","REP","Y","1606","0","0","0","0","0","0","0" 
"06","Caroline County","County Commissioner","","Larry C. Porter","REP","Y","1773","0","0","0","0","0","0","0" 
"15","Kent County","County Commissioner","","Ron Fithian","REP","Y","1075","0","0","0","0","0","0","0" 
"15","Kent County","County Commissioner","","Albert Nickerson","REP","Y","1056","0","0","0","0","0","0","0" 
"15","Kent County","County Commissioner","","John F. Price","REP","Y","1030","0","0","0","0","0","0","0" 
"22","Washington County","County Commissioner","","John F. Barr","REP","Y","0","0","0","0","0","5478","0","0" 
"22","Washington County","County Commissioner","","Robert Matthew Breeding","REP","","0","0","0","0","0","2897","0","0" 
"22","Washington County","County Commissioner","","Charles Burkett","REP","Y","0","0","0","0","0","6327","0","0" 
"22","Washington County","County Commissioner","","Jeffrey A. Cline","REP","Y","0","0","0","0","0","6038","0","0" 
"22","Washington County","County Commissioner","","April M. Compton","REP","","0","0","0","0","0","2604","0","0" 
"22","Washington County","County Commissioner","","Randy Leatherman","REP","Y","0","0","0","0","0","6823","0","0" 
"22","Washington County","County Commissioner","","Curtis W. Reigh","REP","","0","0","0","0","0","2152","0","0" 
"22","Washington County","County Commissioner","","Kaden Snyder","REP","","0","0","0","0","0","1602","0","0" 
"22","Washington County","County Commissioner","","Dan Young","REP","Y","0","0","0","0","0","6608","0","0" 
"11","Frederick County","County Council At Large","","Pamela Ciliberti","REP","Y","0","0","0","0","0","11494","0","0" 
"11","Frederick County","County Council At Large","","Jack Felton","REP","Y","0","0","0","0","0","11992","0","0" 
"16","Montgomery County","County Council At Large","","Sherwin Wells","REP","Y","0","0","0","241","0","2802","0","7329" 
"05","Calvert County","County Commissioner At Large","","Earl ""Buddy"" Hance","REP","","0","0","0","0","1754","0","0","0" 
"05","Calvert County","County Commissioner At Large","","Todd Ireland","REP","","0","0","0","0","1881","0","0","0" 
"05","Calvert County","County Commissioner At Large","","Jason Scaggs","REP","Y","0","0","0","0","3718","0","0","0" 
"05","Calvert County","County Commissioner At Large","","Patti Stueckler","REP","Y","0","0","0","0","5411","0","0","0" 
"05","Calvert County","County Commissioner At Large","","Barbara J. Warner","REP","","0","0","0","0","1786","0","0","0" 
"18","Queen Anne's County","County Commissioner At Large","","Rick Bowers","REP","","394","0","0","0","0","0","0","0" 
"18","Queen Anne's County","County Commissioner At Large","","Jim Moran","REP","Y","2461","0","0","0","0","0","0","0" 
"18","Queen Anne's County","County Commissioner At Large","","Tracy Ann Smith","REP","","1431","0","0","0","0","0","0","0" 
"02","Anne Arundel County","County Council","001","Justin Sherlock","REP","Y","0","0","1710","0","11","0","0","0" 
"04","Baltimore County","County Council","001","Rheagan Kindle","REP","Y","0","593","0","0","0","0","1161","0" 
"10","Dorchester County","County Council","001","Robert Edwin Kramer, Jr.","REP","Y","838","0","0","0","0","0","0","0" 
"11","Frederick County","County Council","001","Frank J. Hollewa","REP","Y","0","0","0","0","0","3129","0","0" 
"16","Montgomery County","County Council","001","Reardon ""Sully"" Sullivan","REP","Y","0","0","0","0","0","0","0","1658" 
"02","Anne Arundel County","County Council","002","Cory Malinowski","REP","Y","0","0","2007","0","0","0","0","0" 
"04","Baltimore County","County Council","002","James Amos","REP","Y","0","748","0","0","0","0","190","0" 
"11","Frederick County","County Council","002","Kai Burhans","REP","","0","0","0","0","0","1316","0","0" 
"11","Frederick County","County Council","002","Dan Iampieri","REP","Y","0","0","0","0","0","2323","0","0" 
"23","Wicomico County","County Council","002","Patrick Adkins","REP","","446","0","0","0","0","0","0","0" 
"23","Wicomico County","County Council","002","James Winn","REP","Y","1077","0","0","0","0","0","0","0" 
"02","Anne Arundel County","County Council","003","Nathan Volke","REP","Y","0","0","4002","0","0","0","0","0" 
"04","Baltimore County","County Council","003","Chike Anyanwu","REP","Y","0","702","0","0","0","0","13","0" 
"10","Dorchester County","County Council","003","Grady Wilson, Jr.","REP","Y","409","0","0","0","0","0","0","0" 
"11","Frederick County","County Council","003","Tammie Baugher","REP","Y","0","0","0","0","0","1315","0","0" 
"16","Montgomery County","County Council","003","Ricky Fai Mui","REP","Y","0","0","0","0","0","656","0","644" 
"23","Wicomico County","County Council","003","Tony Hilligoss","REP","Y","122","0","0","0","0","0","0","0" 
"02","Anne Arundel County","County Council","004","Thomas Dale Wieland","REP","Y","0","0","29","0","1230","0","0","0" 
"04","Baltimore County","County Council","004","Gary Schuman","REP","Y","0","928","0","0","0","0","134","0" 
"10","Dorchester County","County Council","004","Lenny Pfeffer","REP","Y","629","0","0","0","0","0","0","0" 
"11","Frederick County","County Council","004","Chaz Packan","REP","Y","0","0","0","0","0","1672","0","0" 
"23","Wicomico County","County Council","004","Bobby Lee Leath, Jr.","REP","Y","695","0","0","0","0","0","0","0" 
"02","Anne Arundel County","County Council","005","Amanda Fiedler","REP","Y","0","0","3259","0","150","0","0","0" 
"04","Baltimore County","County Council","005","Theaux M. LeGardeur","REP","","445","1461","0","0","0","0","0","0" 
"04","Baltimore County","County Council","005","Nino Mangione","REP","Y","1127","3999","0","0","0","0","0","0" 
"10","Dorchester County","County Council","005","Mike Detmer","REP","Y","789","0","0","0","0","0","0","0" 
"11","Frederick County","County Council","005","Mason Carter","REP","Y","0","0","0","0","0","3724","0","0" 
"14","Howard County","County Council","005","Ryan P. O'Connor","REP","Y","0","0","2055","0","0","0","0","0" 
"16","Montgomery County","County Council","005","Josephine Salazar","REP","Y","0","0","0","238","0","0","0","1114" 
"23","Wicomico County","County Council","005","Ben Jorden","REP","","421","0","0","0","0","0","0","0" 
"23","Wicomico County","County Council","005","Joe White","REP","Y","693","0","0","0","0","0","0","0" 
"02","Anne Arundel County","County Council","006","George Gallagher","REP","Y","0","0","2392","0","0","0","0","0" 
"04","Baltimore County","County Council","006","Christine L. Vondersmith","REP","Y","0","1710","0","0","0","0","1","0" 
"16","Montgomery County","County Council","006","Louella Tham","REP","Y","0","0","0","0","0","0","0","1016" 
"17","Prince George's County","County Council","006","Michael Jones, II","REP","","0","0","0","12","85","0","0","0" 
"17","Prince George's County","County Council","006","Jonathan White","REP","Y","0","0","0","24","115","0","0","0" 
"23","Wicomico County","County Council","006","Michael ""Hooch"" Houck","REP","Y","1275","0","0","0","0","0","0","0" 
"02","Anne Arundel County","County Council","007","Dillon Aldrich","REP","","0","0","0","0","888","0","0","0" 
"02","Anne Arundel County","County Council","007","Dawn Pulliam","REP","Y","0","0","0","0","2992","0","0","0" 
"04","Baltimore County","County Council","007","David Marks","REP","Y","2206","2734","0","0","0","0","0","0" 
"16","Montgomery County","County Council","007","Harold Maldonado","REP","Y","0","0","0","0","0","693","0","1663" 
"23","Wicomico County","County Council","007","Ross Evans","REP","Y","642","0","0","0","0","0","0","0" 
"04","Baltimore County","County Council","008","Josh Sines","REP","Y","750","2764","0","0","0","0","0","0" 
"04","Baltimore County","County Council","009","Tim Fazenbaker","REP","Y","0","143","0","0","0","0","1396","0" 
"04","Baltimore County","County Council","009","Russ ""No Tax"" Mirabile","REP","","0","185","0","0","0","0","663","0" 
"04","Baltimore County","County Council","009","Jake J. Mohorovic, III","REP","","0","42","0","0","0","0","441","0" 
"04","Baltimore County","County Council","009","J. D. Urbach","REP","","0","109","0","0","0","0","879","0" 
"17","Prince George's County","County Council","009","Jesse A. Peed","REP","Y","0","0","0","83","364","0","0","0" 
"13","Harford County","County Council","A","Jeff Beck","REP","Y","1415","0","0","0","0","0","0","0" 
