document_id,metadata_document_id,url,final_url,publication_date,source_updated_date,retrieved_at,raw_path,sha256,bytes,content_type,status,artifact_kind,acquisition_url,publisher_record_path,publisher_record_sha256,publisher_parent_path,publisher_parent_sha256,publisher_parent_item_index,publisher_timezone,notes,candidate_document_registration
joldc-6a2d8466ba8bd24e6384f8fe-lead1,,https://jimowles.org/news/candidate-answers-to-joldc-claire-valdez-for-us-congress-ny-07-2026,https://jimowles.org/news/candidate-answers-to-joldc-claire-valdez-for-us-congress-ny-07-2026,2026-03-22,2026-06-13,2026-09-23T08:10:56.505020+00:00,data/raw/questionnaire_library/joldc/post-6a2d8466ba8bd24e6384f8fe-75c974377f69f6f0e7e0a3b56f87cb368a682a104ad4396a1eacb656a1057d08.html,1dce34b32e463316526f483c4fc3fd14a6d9d5da2572951a37d8938fe0120dee,16474,text/html,used,publisher_api_post_body,https://jimowles.org/news?category=questionnaire&format=json,data/raw/questionnaire_library/joldc/post-6a2d8466ba8bd24e6384f8fe-75c974377f69f6f0e7e0a3b56f87cb368a682a104ad4396a1eacb656a1057d08.json,75c974377f69f6f0e7e0a3b56f87cb368a682a104ad4396a1eacb656a1057d08,data/raw/questionnaire_library/joldc/index-a328fe6169a53a4bc1ce6279f22e02590dea195a11ffa2e54906d4ff2af3bc9e.json.gz,a328fe6169a53a4bc1ce6279f22e02590dea195a11ffa2e54906d4ff2af3bc9e,5,America/New_York,Body candidate name and office/cycle match canonical registry context.,"{""archive_url"": """", ""candidate_name"": ""Claire Valdez"", ""candidate_only_locator"": ""Questionnaire body header: Candidate Name Claire Valdez; Office US Congress NY-07"", ""canonical_race_id"": ""race-d2aabb75a31f1e810737"", ""election_date"": ""2026-06-23"", ""publication_date"": ""2026-03-22"", ""race_id"": ""race-d2aabb75a31f1e810737"", ""role"": ""endorsed"", ""source_type"": ""candidate_questionnaire"", ""source_url"": ""https://jimowles.org/news/candidate-answers-to-joldc-claire-valdez-for-us-congress-ny-07-2026""}"
joldc-6a25eca6d8c9092abdbd08cb-lead2,,https://jimowles.org/news/candidate-answers-to-joldc-julie-won-for-us-congress-ny-07-2026,https://jimowles.org/news/candidate-answers-to-joldc-julie-won-for-us-congress-ny-07-2026,2026-03-22,2026-06-07,2026-09-23T08:10:56.505020+00:00,data/raw/questionnaire_library/joldc/post-6a25eca6d8c9092abdbd08cb-6c522508e7117a07d58a2a9a617d175cf1706c2480835ebc09ce2a565d048cbb.html,5d600eab0a551b0913837931694017e47d67b2ad0050d27397cdc768ee28bae5,20511,text/html,used,publisher_api_post_body,https://jimowles.org/news?category=questionnaire&format=json,data/raw/questionnaire_library/joldc/post-6a25eca6d8c9092abdbd08cb-6c522508e7117a07d58a2a9a617d175cf1706c2480835ebc09ce2a565d048cbb.json,6c522508e7117a07d58a2a9a617d175cf1706c2480835ebc09ce2a565d048cbb,data/raw/questionnaire_library/joldc/index-a328fe6169a53a4bc1ce6279f22e02590dea195a11ffa2e54906d4ff2af3bc9e.json.gz,a328fe6169a53a4bc1ce6279f22e02590dea195a11ffa2e54906d4ff2af3bc9e,6,America/New_York,Body candidate name and office/cycle match canonical registry context.,"{""archive_url"": """", ""candidate_name"": ""Julie Won"", ""candidate_only_locator"": ""Questionnaire body header: Candidate Name Julie Won; Office US Congress NY-07"", ""canonical_race_id"": ""race-d2aabb75a31f1e810737"", ""election_date"": ""2026-06-23"", ""publication_date"": ""2026-03-22"", ""race_id"": ""race-d2aabb75a31f1e810737"", ""role"": ""opponent"", ""source_type"": ""candidate_questionnaire"", ""source_url"": ""https://jimowles.org/news/candidate-answers-to-joldc-julie-won-for-us-congress-ny-07-2026""}"
joldc-6a2d896ea5bfda283e8367a1-lead3,,https://jimowles.org/news/candidate-answers-to-joldc-antonio-reynoso-for-us-congress-ny-07-2026,https://jimowles.org/news/candidate-answers-to-joldc-antonio-reynoso-for-us-congress-ny-07-2026,2026-03-22,2026-06-13,2026-09-23T08:10:56.505020+00:00,data/raw/questionnaire_library/joldc/post-6a2d896ea5bfda283e8367a1-cccbb3c542710653399ffbce532d5bb95754961c4c1d8a3f1c338ce81f06409e.html,fa6a408d3aaf6e5fc7b3ab47db92a434a9b8a94044d40003c5c6f8e5dd504ce9,23377,text/html,used,publisher_api_post_body,https://jimowles.org/news?category=questionnaire&format=json,data/raw/questionnaire_library/joldc/post-6a2d896ea5bfda283e8367a1-cccbb3c542710653399ffbce532d5bb95754961c4c1d8a3f1c338ce81f06409e.json,cccbb3c542710653399ffbce532d5bb95754961c4c1d8a3f1c338ce81f06409e,data/raw/questionnaire_library/joldc/index-a328fe6169a53a4bc1ce6279f22e02590dea195a11ffa2e54906d4ff2af3bc9e.json.gz,a328fe6169a53a4bc1ce6279f22e02590dea195a11ffa2e54906d4ff2af3bc9e,7,America/New_York,Body candidate name and office/cycle match canonical registry context.,"{""archive_url"": """", ""candidate_name"": ""Antonio Reynoso"", ""candidate_only_locator"": ""Questionnaire body header: Candidate Name Antonio Reynoso; Office US Congress NY-07"", ""canonical_race_id"": ""race-d2aabb75a31f1e810737"", ""election_date"": ""2026-06-23"", ""publication_date"": ""2026-03-22"", ""race_id"": ""race-d2aabb75a31f1e810737"", ""role"": ""opponent"", ""source_type"": ""candidate_questionnaire"", ""source_url"": ""https://jimowles.org/news/candidate-answers-to-joldc-antonio-reynoso-for-us-congress-ny-07-2026""}"
joldc-6a165d9194b755418ab57eb3-lead4,,https://jimowles.org/news/candidate-answers-to-joldc-adriano-espaillat-for-us-congress-ny-13-2026,https://jimowles.org/news/candidate-answers-to-joldc-adriano-espaillat-for-us-congress-ny-13-2026,2026-03-22,2026-06-13,2026-09-23T08:10:56.505020+00:00,data/raw/questionnaire_library/joldc/post-6a165d9194b755418ab57eb3-40d0d6b7b23a0b37136467c330b093c21acd0ca04e4a3e34734cc5853faaed2c.html,6f9aefea1c525880d7883d25c7d9a0a10868b38a15e7d155befa5d9cd1f57eb2,21055,text/html,used,publisher_api_post_body,https://jimowles.org/news?category=questionnaire&format=json,data/raw/questionnaire_library/joldc/post-6a165d9194b755418ab57eb3-40d0d6b7b23a0b37136467c330b093c21acd0ca04e4a3e34734cc5853faaed2c.json,40d0d6b7b23a0b37136467c330b093c21acd0ca04e4a3e34734cc5853faaed2c,data/raw/questionnaire_library/joldc/index-a328fe6169a53a4bc1ce6279f22e02590dea195a11ffa2e54906d4ff2af3bc9e.json.gz,a328fe6169a53a4bc1ce6279f22e02590dea195a11ffa2e54906d4ff2af3bc9e,13,America/New_York,Body candidate name and office/cycle match canonical registry context.,"{""archive_url"": """", ""candidate_name"": ""Adriano Espaillat"", ""candidate_only_locator"": ""Questionnaire body header: Candidate Name Adriano Espaillat; Office US Congress NY-13"", ""canonical_race_id"": ""race-64bde8b146c8826d40ce"", ""election_date"": ""2026-06-23"", ""publication_date"": ""2026-03-22"", ""race_id"": ""race-64bde8b146c8826d40ce"", ""role"": ""opponent"", ""source_type"": ""candidate_questionnaire"", ""source_url"": ""https://jimowles.org/news/candidate-answers-to-joldc-adriano-espaillat-for-us-congress-ny-13-2026""}"
joldc-6a2d8cd9a5357c1b9f317b0e-lead5,,https://jimowles.org/news/candidate-answers-to-joldc-pia-rahman-for-ny-assembly-district-37-2026,https://jimowles.org/news/candidate-answers-to-joldc-pia-rahman-for-ny-assembly-district-37-2026,2026-03-22,2026-06-13,2026-09-23T08:10:56.505020+00:00,data/raw/questionnaire_library/joldc/post-6a2d8cd9a5357c1b9f317b0e-d3f3099e1048d72e8de278a5d2cccbef95bd2a40fb094bc60c20180d316f6c88.html,40c839096de6e9a5135f55af3b2d6feccbaad05039e642267a47cda57422b3ad,34473,text/html,used,publisher_api_post_body,https://jimowles.org/news?category=questionnaire&format=json,data/raw/questionnaire_library/joldc/post-6a2d8cd9a5357c1b9f317b0e-d3f3099e1048d72e8de278a5d2cccbef95bd2a40fb094bc60c20180d316f6c88.json,d3f3099e1048d72e8de278a5d2cccbef95bd2a40fb094bc60c20180d316f6c88,data/raw/questionnaire_library/joldc/index-a328fe6169a53a4bc1ce6279f22e02590dea195a11ffa2e54906d4ff2af3bc9e.json.gz,a328fe6169a53a4bc1ce6279f22e02590dea195a11ffa2e54906d4ff2af3bc9e,19,America/New_York,Body candidate name and office/cycle match canonical registry context.,"{""archive_url"": """", ""candidate_name"": ""Pia Rahman"", ""candidate_only_locator"": ""Questionnaire body header: Candidate Name Pia Rahman; Office NY Assembly District 37"", ""canonical_race_id"": ""race-a8714bfc41c3a8b6f98f"", ""election_date"": ""2026-06-23"", ""publication_date"": ""2026-03-22"", ""race_id"": ""race-a8714bfc41c3a8b6f98f"", ""role"": ""opponent"", ""source_type"": ""candidate_questionnaire"", ""source_url"": ""https://jimowles.org/news/candidate-answers-to-joldc-pia-rahman-for-ny-assembly-district-37-2026""}"
joldc-6a2d726ec0ea63175eab006e-lead6,,https://jimowles.org/news/candidate-answers-to-joldc-david-orkin-for-ny-assembly-district-38-2026,https://jimowles.org/news/candidate-answers-to-joldc-david-orkin-for-ny-assembly-district-38-2026,2026-03-22,2026-06-13,2026-09-23T08:10:58.604844+00:00,data/raw/questionnaire_library/joldc/post-6a2d726ec0ea63175eab006e-6d4f61ca07b16c6827417f93191fef92708cc7e172439aba7bfeabe9b3337ec6.html,9f81f8f042ac7b9773f59d496a462c8bde33e0c54417ad3aafd2f84a613f4a91,39213,text/html,used,publisher_api_post_body,https://jimowles.org/news?category=questionnaire&format=json&offset=1774234380853,data/raw/questionnaire_library/joldc/post-6a2d726ec0ea63175eab006e-6d4f61ca07b16c6827417f93191fef92708cc7e172439aba7bfeabe9b3337ec6.json,6d4f61ca07b16c6827417f93191fef92708cc7e172439aba7bfeabe9b3337ec6,data/raw/questionnaire_library/joldc/index-5e5d5892633145c16cb68fa469ebb6b2c0a2db5d2b94f1ec843eebace808eff5.json.gz,5e5d5892633145c16cb68fa469ebb6b2c0a2db5d2b94f1ec843eebace808eff5,0,America/New_York,Body candidate name and office/cycle match canonical registry context.,"{""archive_url"": """", ""candidate_name"": ""David Orkin"", ""candidate_only_locator"": ""Questionnaire body header: Candidate Name David Orkin; Office NY Assembly District 38"", ""canonical_race_id"": ""race-39f265caadf4efc1cdd3"", ""election_date"": ""2026-06-23"", ""publication_date"": ""2026-03-22"", ""race_id"": ""race-39f265caadf4efc1cdd3"", ""role"": ""endorsed"", ""source_type"": ""candidate_questionnaire"", ""source_url"": ""https://jimowles.org/news/candidate-answers-to-joldc-david-orkin-for-ny-assembly-district-38-2026""}"
joldc-69c05746c501fc51342bc2a6-lead7,,https://jimowles.org/news/candidate-answers-to-joldc-emily-gallagher-for-ny-assembly-district-50-2026,https://jimowles.org/news/candidate-answers-to-joldc-emily-gallagher-for-ny-assembly-district-50-2026,2026-03-22,2026-03-23,2026-09-23T08:10:58.604844+00:00,data/raw/questionnaire_library/joldc/post-69c05746c501fc51342bc2a6-762a9da14215ad0fa2643a2cab082b360dab74b9c1f7975633a4c0c497d5361c.html,001740677d03e943788731ea2d0ad8109ff202a8e2ef4fe1b82f30898d07dd05,14916,text/html,used,publisher_api_post_body,https://jimowles.org/news?category=questionnaire&format=json&offset=1774234380853,data/raw/questionnaire_library/joldc/post-69c05746c501fc51342bc2a6-762a9da14215ad0fa2643a2cab082b360dab74b9c1f7975633a4c0c497d5361c.json,762a9da14215ad0fa2643a2cab082b360dab74b9c1f7975633a4c0c497d5361c,data/raw/questionnaire_library/joldc/index-5e5d5892633145c16cb68fa469ebb6b2c0a2db5d2b94f1ec843eebace808eff5.json.gz,5e5d5892633145c16cb68fa469ebb6b2c0a2db5d2b94f1ec843eebace808eff5,3,America/New_York,Body candidate name and office/cycle match canonical registry context.,"{""archive_url"": """", ""candidate_name"": ""Emily Gallagher"", ""candidate_only_locator"": ""Questionnaire body header: Candidate Name Emily Gallagher; Office NY Assembly District 50"", ""canonical_race_id"": ""race-3ecc1eb1bf0838801a6b"", ""election_date"": ""2026-06-23"", ""publication_date"": ""2026-03-22"", ""race_id"": ""race-3ecc1eb1bf0838801a6b"", ""role"": ""endorsed"", ""source_type"": ""candidate_questionnaire"", ""source_url"": ""https://jimowles.org/news/candidate-answers-to-joldc-emily-gallagher-for-ny-assembly-district-50-2026""}"
joldc-69c013f9deb04c144dc13321-lead8,,https://jimowles.org/news/candidate-answers-to-joldc-christian-celeste-tate-for-ny-assembly-district-54-2026,https://jimowles.org/news/candidate-answers-to-joldc-christian-celeste-tate-for-ny-assembly-district-54-2026,2026-03-22,2026-03-23,2026-09-23T08:10:58.604844+00:00,data/raw/questionnaire_library/joldc/post-69c013f9deb04c144dc13321-5eac329e6ed8df58481c78140c47d19d2b34c5d633f4ba4b1c6d4d6409e7383e.html,d7991adb4e31e497d72c76485d051aa7f7f8d6de7a9ffbcd6f6adff078858708,25506,text/html,used,publisher_api_post_body,https://jimowles.org/news?category=questionnaire&format=json&offset=1774234380853,data/raw/questionnaire_library/joldc/post-69c013f9deb04c144dc13321-5eac329e6ed8df58481c78140c47d19d2b34c5d633f4ba4b1c6d4d6409e7383e.json,5eac329e6ed8df58481c78140c47d19d2b34c5d633f4ba4b1c6d4d6409e7383e,data/raw/questionnaire_library/joldc/index-5e5d5892633145c16cb68fa469ebb6b2c0a2db5d2b94f1ec843eebace808eff5.json.gz,5e5d5892633145c16cb68fa469ebb6b2c0a2db5d2b94f1ec843eebace808eff5,5,America/New_York,Body candidate name and office/cycle match canonical registry context.,"{""archive_url"": """", ""candidate_name"": ""Christian Celeste Tate"", ""candidate_only_locator"": ""Questionnaire body header: Candidate Name Christian Celeste Tate; Office NY Assembly District 54"", ""canonical_race_id"": ""race-7d1d86d506cf06be54a0"", ""election_date"": ""2026-06-23"", ""publication_date"": ""2026-03-22"", ""race_id"": ""race-7d1d86d506cf06be54a0"", ""role"": ""endorsed"", ""source_type"": ""candidate_questionnaire"", ""source_url"": ""https://jimowles.org/news/candidate-answers-to-joldc-christian-celeste-tate-for-ny-assembly-district-54-2026""}"
joldc-6a2d7d8b63e9523cf3f1c866-lead9,,https://jimowles.org/news/candidate-answers-to-joldc-eon-huntley-for-ny-assembly-district-56-2026,https://jimowles.org/news/candidate-answers-to-joldc-eon-huntley-for-ny-assembly-district-56-2026,2026-03-22,2026-06-13,2026-09-23T08:10:58.604844+00:00,data/raw/questionnaire_library/joldc/post-6a2d7d8b63e9523cf3f1c866-fb9911a2804aef67422e27525ad72056e2331f09cd5a9f81bb0813d3d093edb3.html,55410d8c85d4e354276a1fb823099239b604c391e647b001f42ad134aac5dda9,28003,text/html,used,publisher_api_post_body,https://jimowles.org/news?category=questionnaire&format=json&offset=1774234380853,data/raw/questionnaire_library/joldc/post-6a2d7d8b63e9523cf3f1c866-fb9911a2804aef67422e27525ad72056e2331f09cd5a9f81bb0813d3d093edb3.json,fb9911a2804aef67422e27525ad72056e2331f09cd5a9f81bb0813d3d093edb3,data/raw/questionnaire_library/joldc/index-5e5d5892633145c16cb68fa469ebb6b2c0a2db5d2b94f1ec843eebace808eff5.json.gz,5e5d5892633145c16cb68fa469ebb6b2c0a2db5d2b94f1ec843eebace808eff5,6,America/New_York,Body candidate name and office/cycle match canonical registry context.,"{""archive_url"": """", ""candidate_name"": ""Eon Huntley"", ""candidate_only_locator"": ""Questionnaire body header: Candidate Name Eon Huntley; Office NY Assembly District 56"", ""canonical_race_id"": ""race-8b7a8f7e7882f4f63dbb"", ""election_date"": ""2026-06-23"", ""publication_date"": ""2026-03-22"", ""race_id"": ""race-8b7a8f7e7882f4f63dbb"", ""role"": ""endorsed"", ""source_type"": ""candidate_questionnaire"", ""source_url"": ""https://jimowles.org/news/candidate-answers-to-joldc-eon-huntley-for-ny-assembly-district-56-2026""}"
joldc-69c052c3e2c87c2027db8c4a-lead10,,https://jimowles.org/news/candidate-answers-to-joldc-stefani-l-zinerman-for-ny-assembly-district-56-2026,https://jimowles.org/news/candidate-answers-to-joldc-stefani-l-zinerman-for-ny-assembly-district-56-2026,2026-03-22,2026-03-23,2026-09-23T08:10:58.604844+00:00,data/raw/questionnaire_library/joldc/post-69c052c3e2c87c2027db8c4a-d6be39b52341baa1115df7656e196e382bb8fa2135f19af8599c9d9a6ba232b1.html,4caf5af7a60d2d89674d48580735eacef134717787edab95f4cbe19e798943ee,28989,text/html,used,publisher_api_post_body,https://jimowles.org/news?category=questionnaire&format=json&offset=1774234380853,data/raw/questionnaire_library/joldc/post-69c052c3e2c87c2027db8c4a-d6be39b52341baa1115df7656e196e382bb8fa2135f19af8599c9d9a6ba232b1.json,d6be39b52341baa1115df7656e196e382bb8fa2135f19af8599c9d9a6ba232b1,data/raw/questionnaire_library/joldc/index-5e5d5892633145c16cb68fa469ebb6b2c0a2db5d2b94f1ec843eebace808eff5.json.gz,5e5d5892633145c16cb68fa469ebb6b2c0a2db5d2b94f1ec843eebace808eff5,7,America/New_York,Body candidate name and office/cycle match canonical registry context.,"{""archive_url"": """", ""candidate_name"": ""Stefani L. Zinerman"", ""candidate_only_locator"": ""Questionnaire body header: Candidate Name Stefani L. Zinerman; Office NY Assembly District 56"", ""canonical_race_id"": ""race-8b7a8f7e7882f4f63dbb"", ""election_date"": ""2026-06-23"", ""publication_date"": ""2026-03-22"", ""race_id"": ""race-8b7a8f7e7882f4f63dbb"", ""role"": ""opponent"", ""source_type"": ""candidate_questionnaire"", ""source_url"": ""https://jimowles.org/news/candidate-answers-to-joldc-stefani-l-zinerman-for-ny-assembly-district-56-2026""}"
joldc-69c06114976a9d427944ece1-lead11,,https://jimowles.org/news/candidate-answers-to-joldc-conrad-blackburn-for-ny-assembly-district-70-2026,https://jimowles.org/news/candidate-answers-to-joldc-conrad-blackburn-for-ny-assembly-district-70-2026,2026-03-22,2026-03-23,2026-09-23T08:10:58.604844+00:00,data/raw/questionnaire_library/joldc/post-69c06114976a9d427944ece1-56547eed16d973c2c8820390336affa3581d452893a58e26b09957c32037d1ca.html,e6ed74cb770ded31095c4fd587cd4ba591273a7e9c87f5e2a8d2f5a8e4877271,33858,text/html,used,publisher_api_post_body,https://jimowles.org/news?category=questionnaire&format=json&offset=1774234380853,data/raw/questionnaire_library/joldc/post-69c06114976a9d427944ece1-56547eed16d973c2c8820390336affa3581d452893a58e26b09957c32037d1ca.json,56547eed16d973c2c8820390336affa3581d452893a58e26b09957c32037d1ca,data/raw/questionnaire_library/joldc/index-5e5d5892633145c16cb68fa469ebb6b2c0a2db5d2b94f1ec843eebace808eff5.json.gz,5e5d5892633145c16cb68fa469ebb6b2c0a2db5d2b94f1ec843eebace808eff5,17,America/New_York,Body candidate name and office/cycle match canonical registry context.,"{""archive_url"": """", ""candidate_name"": ""Conrad Blackburn"", ""candidate_only_locator"": ""Questionnaire body header: Candidate Name Conrad Blackburn; Office NY Assembly District 70"", ""canonical_race_id"": ""race-81e2713609390a44638a"", ""election_date"": ""2026-06-23"", ""publication_date"": ""2026-03-22"", ""race_id"": ""race-81e2713609390a44638a"", ""role"": ""endorsed"", ""source_type"": ""candidate_questionnaire"", ""source_url"": ""https://jimowles.org/news/candidate-answers-to-joldc-conrad-blackburn-for-ny-assembly-district-70-2026""}"
joldc-6a1660240a47f227dc0f5ee2-lead12,,https://jimowles.org/news/candidate-answers-to-joldc-jenifer-rajkumar-for-ny-senate-district-38-2026,https://jimowles.org/news/candidate-answers-to-joldc-jenifer-rajkumar-for-ny-senate-district-38-2026,2026-03-22,2026-06-13,2026-09-23T08:11:00.742998+00:00,data/raw/questionnaire_library/joldc/post-6a1660240a47f227dc0f5ee2-0495d11b908fd846e879dfd6df3e1f6257aaacb334a70ced8ed1162e45575d46.html,718ee84f25c6753b9bdf406c0c738daa1edf454d1f5c96ac1352b3a7fea26ff8,16570,text/html,excluded,publisher_api_post_body,https://jimowles.org/news?category=questionnaire&format=json&offset=1774232220985,data/raw/questionnaire_library/joldc/post-6a1660240a47f227dc0f5ee2-0495d11b908fd846e879dfd6df3e1f6257aaacb334a70ced8ed1162e45575d46.json,0495d11b908fd846e879dfd6df3e1f6257aaacb334a70ced8ed1162e45575d46,data/raw/questionnaire_library/joldc/index-6d52b50e7028b6cbacac9b4f3d7284b6f1a3dd7c4cec1228ffe6431595b364df.json.gz,6d52b50e7028b6cbacac9b4f3d7284b6f1a3dd7c4cec1228ffe6431595b364df,13,America/New_York,"Body office is 'New York State Senate District 38', which does not match canonical State Assembly District 38.","{""archive_url"": """", ""candidate_name"": ""Jenifer Rajkumar"", ""candidate_only_locator"": ""Questionnaire body header: Candidate Name Jenifer Rajkumar; Office New York State Senate District 38"", ""canonical_race_id"": ""race-39f265caadf4efc1cdd3"", ""election_date"": ""2026-06-23"", ""publication_date"": ""2026-03-22"", ""race_id"": ""race-39f265caadf4efc1cdd3"", ""role"": ""opponent"", ""source_type"": ""candidate_questionnaire"", ""source_url"": ""https://jimowles.org/news/candidate-answers-to-joldc-jenifer-rajkumar-for-ny-senate-district-38-2026""}"
joldc-680e5907dbf82322a075d07e-lead13,,https://jimowles.org/news/antonio-reynoso-for-brooklyn-borough-president-2025,https://jimowles.org/news/antonio-reynoso-for-brooklyn-borough-president-2025,2025-04-30,2025-05-01,2026-09-23T08:11:00.742998+00:00,data/raw/questionnaire_library/joldc/post-680e5907dbf82322a075d07e-def57c70a96c151f08eaf1ad81b10b923e8c68191d75de6daf5cfbc45a427e5e.html,fefdde4ab9519b10a6c8af2741f816dac4a2f79a95ab57a34804c4c2aec4d9ba,20011,text/html,excluded,publisher_api_post_body,https://jimowles.org/news?category=questionnaire&format=json&offset=1774232220985,data/raw/questionnaire_library/joldc/post-680e5907dbf82322a075d07e-def57c70a96c151f08eaf1ad81b10b923e8c68191d75de6daf5cfbc45a427e5e.json,def57c70a96c151f08eaf1ad81b10b923e8c68191d75de6daf5cfbc45a427e5e,data/raw/questionnaire_library/joldc/index-6d52b50e7028b6cbacac9b4f3d7284b6f1a3dd7c4cec1228ffe6431595b364df.json.gz,6d52b50e7028b6cbacac9b4f3d7284b6f1a3dd7c4cec1228ffe6431595b364df,17,America/New_York,"Body office is 'Bronx Borough President', which does not match canonical US House District 7.","{""archive_url"": """", ""candidate_name"": ""Antonio Reynoso"", ""candidate_only_locator"": ""Questionnaire body header: Candidate Name Antonio Reynoso; Office Bronx Borough President"", ""canonical_race_id"": ""race-d2aabb75a31f1e810737"", ""election_date"": ""2026-06-23"", ""publication_date"": ""2025-04-30"", ""race_id"": ""race-d2aabb75a31f1e810737"", ""role"": ""opponent"", ""source_type"": ""candidate_questionnaire"", ""source_url"": ""https://jimowles.org/news/antonio-reynoso-for-brooklyn-borough-president-2025""}"
joldc-6812f4e31de07c4b6b0a6ee5-lead14,,https://jimowles.org/news/candidate-answers-to-joldc-zellnor-myrie-for-nyc-mayor-2025,https://jimowles.org/news/candidate-answers-to-joldc-zellnor-myrie-for-nyc-mayor-2025,2025-04-30,2025-05-01,2026-09-23T08:11:00.742998+00:00,data/raw/questionnaire_library/joldc/post-6812f4e31de07c4b6b0a6ee5-cd91e675c9e8562e802f44db811b5ba2d70e23cd685aa03e61e845a1b4ed1e69.html,c2161b52f5e82d722ffb4bdf96a3821cbfef1e0f351c83ccf2b6855b33c92a57,35290,text/html,excluded,publisher_api_post_body,https://jimowles.org/news?category=questionnaire&format=json&offset=1774232220985,data/raw/questionnaire_library/joldc/post-6812f4e31de07c4b6b0a6ee5-cd91e675c9e8562e802f44db811b5ba2d70e23cd685aa03e61e845a1b4ed1e69.json,cd91e675c9e8562e802f44db811b5ba2d70e23cd685aa03e61e845a1b4ed1e69,data/raw/questionnaire_library/joldc/index-6d52b50e7028b6cbacac9b4f3d7284b6f1a3dd7c4cec1228ffe6431595b364df.json.gz,6d52b50e7028b6cbacac9b4f3d7284b6f1a3dd7c4cec1228ffe6431595b364df,18,America/New_York,Duplicate discovery lead suppressed in favor of canonical NYC mayor race ID.,"{""archive_url"": """", ""candidate_name"": ""Zellnor Myrie"", ""candidate_only_locator"": ""Questionnaire body header: Candidate Name Zellnor Myrie; Office NYC Mayor"", ""canonical_race_id"": ""race-d0d830cb7a9e40e91152"", ""election_date"": ""2025-06-24"", ""publication_date"": ""2025-04-30"", ""race_id"": ""race-d0d830cb7a9e40e91152"", ""role"": ""opponent"", ""source_type"": ""candidate_questionnaire"", ""source_url"": ""https://jimowles.org/news/candidate-answers-to-joldc-zellnor-myrie-for-nyc-mayor-2025""}"
joldc-6812f4e31de07c4b6b0a6ee5-lead15,,https://jimowles.org/news/candidate-answers-to-joldc-zellnor-myrie-for-nyc-mayor-2025,https://jimowles.org/news/candidate-answers-to-joldc-zellnor-myrie-for-nyc-mayor-2025,2025-04-30,2025-05-01,2026-09-23T08:11:00.742998+00:00,data/raw/questionnaire_library/joldc/post-6812f4e31de07c4b6b0a6ee5-cd91e675c9e8562e802f44db811b5ba2d70e23cd685aa03e61e845a1b4ed1e69.html,c2161b52f5e82d722ffb4bdf96a3821cbfef1e0f351c83ccf2b6855b33c92a57,35290,text/html,used,publisher_api_post_body,https://jimowles.org/news?category=questionnaire&format=json&offset=1774232220985,data/raw/questionnaire_library/joldc/post-6812f4e31de07c4b6b0a6ee5-cd91e675c9e8562e802f44db811b5ba2d70e23cd685aa03e61e845a1b4ed1e69.json,cd91e675c9e8562e802f44db811b5ba2d70e23cd685aa03e61e845a1b4ed1e69,data/raw/questionnaire_library/joldc/index-6d52b50e7028b6cbacac9b4f3d7284b6f1a3dd7c4cec1228ffe6431595b364df.json.gz,6d52b50e7028b6cbacac9b4f3d7284b6f1a3dd7c4cec1228ffe6431595b364df,18,America/New_York,Body candidate name and office/cycle match canonical registry context.,"{""archive_url"": """", ""candidate_name"": ""Zellnor Myrie"", ""candidate_only_locator"": ""Questionnaire body header: Candidate Name Zellnor Myrie; Office NYC Mayor"", ""canonical_race_id"": ""race-d0d830cb7a9e40e91152"", ""election_date"": ""2025-06-24"", ""publication_date"": ""2025-04-30"", ""race_id"": ""race-d0d830cb7a9e40e91152"", ""role"": ""opponent"", ""source_type"": ""candidate_questionnaire"", ""source_url"": ""https://jimowles.org/news/candidate-answers-to-joldc-zellnor-myrie-for-nyc-mayor-2025""}"
joldc-680f96ae0bf32423ac80000e-lead16,,https://jimowles.org/news/candidate-answers-to-joldc-brad-lander-for-nyc-mayor-2025,https://jimowles.org/news/candidate-answers-to-joldc-brad-lander-for-nyc-mayor-2025,2025-04-28,2025-05-01,2026-09-23T08:11:00.742998+00:00,data/raw/questionnaire_library/joldc/post-680f96ae0bf32423ac80000e-d8a118adede50d68c2af50224e512f90d9f342f486a04a2e0329c803c20b53cd.html,416e2ae84b6ad722a3171a449d4248df7669459b657ecfc97c3e09dc9c7665f8,43818,text/html,excluded,publisher_api_post_body,https://jimowles.org/news?category=questionnaire&format=json&offset=1774232220985,data/raw/questionnaire_library/joldc/post-680f96ae0bf32423ac80000e-d8a118adede50d68c2af50224e512f90d9f342f486a04a2e0329c803c20b53cd.json,d8a118adede50d68c2af50224e512f90d9f342f486a04a2e0329c803c20b53cd,data/raw/questionnaire_library/joldc/index-6d52b50e7028b6cbacac9b4f3d7284b6f1a3dd7c4cec1228ffe6431595b364df.json.gz,6d52b50e7028b6cbacac9b4f3d7284b6f1a3dd7c4cec1228ffe6431595b364df,19,America/New_York,Duplicate discovery lead suppressed in favor of canonical NYC mayor race ID.,"{""archive_url"": """", ""candidate_name"": ""Brad Lander"", ""candidate_only_locator"": ""Questionnaire body header: Candidate Name Brad Lander; Office NYC Mayor"", ""canonical_race_id"": ""race-d0d830cb7a9e40e91152"", ""election_date"": ""2025-06-24"", ""publication_date"": ""2025-04-28"", ""race_id"": ""race-d0d830cb7a9e40e91152"", ""role"": ""opponent"", ""source_type"": ""candidate_questionnaire"", ""source_url"": ""https://jimowles.org/news/candidate-answers-to-joldc-brad-lander-for-nyc-mayor-2025""}"
